supplier_key,supplier_code,supplier_name,contact_person,email,phone,city,province,address,is_active
63,SUP000063,CV PT Rahimah (Persero) Tbk Trading,Panca Saragih,cakrabuana56@pd.my.id,+62 (0181) 337 9296,Surabaya,Jawa Timur,"Jl. Sentot Alibasa No. 428, Kota Administrasi Jakarta Selatan, Sulawesi Barat 26260",True
64,SUP000064,PT CV Mangunsong Lailasari (Persero) Tbk Nusantara,Dr. Kayla Prasetyo,diah96@pd.id,(0354) 799 7597,Yogyakarta,DI Yogyakarta,"Jl. Kapten Muslihat No. 6, Bontang, Gorontalo 50176",True
65,SUP000065,CV PD Damanik Astuti (Persero) Tbk Retail,"Emas Saragih, S.Gz",rahmawatiluis@pt.co.id,+62-422-709-8975,Makassar,Sulawesi Selatan,"Gang Monginsidi No. 9, Padang, SB 12054",True
66,SUP000066,PT PD Habibi Prayoga (Persero) Tbk Wholesale,Amalia Samosir,novi12@perum.org,(008) 098-9599,Jakarta,DKI Jakarta,"Gang BKR No. 60, Gorontalo, JB 53121",True
67,SUP000067,CV CV Purnawati Mustofa (Persero) Tbk Distribution,"Laksana Prakasa, S.Kom",hutapeamahfud@pd.desa.id,(0956) 430 5466,Bekasi,Jawa Barat,"Gang Jakarta No. 889, Payakumbuh, Kalimantan Tengah 01639",True
68,SUP000068,PT PT Wasita Marpaung Mandiri,"KH. Malik Fujiati, M.TI.",hakimrendy@cv.my.id,+62 (028) 119-9671,Bandung,Jawa Barat,"Jalan Cihampelas No. 588, Bima, DI Yogyakarta 13928",True
69,SUP000069,PT Perum Zulaika (Persero) Tbk Trading,Ade Marpaung,hasimhalim@ud.desa.id,+62-058-620-6432,Jakarta,DKI Jakarta,"Jalan Setiabudhi No. 7, Metro, SN 42525",True
70,SUP000070,PT PT Oktaviani (Persero) Tbk Nusantara,Michelle Purnawati,wisnu45@cv.my.id,+62-015-262-8163,Medan,Sumatera Utara,"Gg. M.H Thamrin No. 173, Kota Administrasi Jakarta Timur, DKI Jakarta 97029",True
71,SUP000071,PT UD Padmasari (Persero) Tbk Sejahtera,Novi Wijaya,tirtayasahardiansyah@perum.sch.id,(094) 362-5512,Bogor,Jawa Barat,"Gang KH Amin Jasuta No. 210, Denpasar, AC 44731",True
72,SUP000072,PT PT Rajata Tbk Supply,"Ir. Yulia Tarihoran, S.Ked",yuni36@cv.id,+62-0851-109-4964,Bogor,Jawa Barat,"Gang Moch. Ramdan No. 0, Sukabumi, MA 36189",True
73,SUP000073,CV Perum Mulyani Wholesale,Cornelia Widiastuti,karen94@pd.mil,089 563 3136,Makassar,Sulawesi Selatan,"Jalan Waringin No. 7, Sibolga, Kalimantan Barat 30997",True
74,SUP000074,PT Perum Mandala Nainggolan Wholesale,"Elvina Pudjiastuti, S.E.I",murtihariyah@pd.web.id,(068) 163 0747,Makassar,Sulawesi Selatan,"Gg. Dipatiukur No. 27, Bontang, DI Yogyakarta 21859",True
75,SUP000075,CV Perum Prasasta Tbk Nusantara,Zalindra Nashiruddin,prahimah@cv.go.id,+62 (765) 927-5837,Medan,Sumatera Utara,"Jl. Joyoboyo No. 875, Bandung, ST 18137",True
76,SUP000076,PT CV Safitri Tbk Wholesale,"Carla Winarsih, S.T.",vero63@ud.gov,(096) 375-4657,Bogor,Jawa Barat,"Jalan Pasteur No. 48, Batam, DI Yogyakarta 00882",True
77,SUP000077,PT UD Wijaya Nusantara,Rahmi Wahyudin,kmayasari@ud.sch.id,0885602860,Jakarta,DKI Jakarta,"Jalan Cikutra Barat No. 3, Samarinda, Nusa Tenggara Barat 77593",True
78,SUP000078,CV Perum Situmorang Oktaviani Tbk Wholesale,Jessica Anggriawan,budiyantogamani@cv.or.id,+62-0189-216-9719,Bekasi,Jawa Barat,"Gang Dr. Djunjunan No. 8, Pasuruan, BB 89671",True
79,SUP000079,PT PD Purwanti Palastri Supply,Latif Riyanti,prasetyapadmasari@ud.ac.id,+62-024-856-4183,Denpasar,Bali,"Jalan Soekarno Hatta No. 7, Salatiga, NB 24286",True
80,SUP000080,CV PD Usada Global,Septi Hutagalung,warsitahariyah@ud.sch.id,+62 (64) 100-6788,Denpasar,Bali,"Jl. Raya Ujungberung No. 1, Denpasar, GO 89766",True
81,SUP000081,PT CV Hutagalung Tbk Indonesia,Cakrajiya Hakim,putri22@cv.int,085 625 2781,Makassar,Sulawesi Selatan,"Gg. Jakarta No. 9, Kota Administrasi Jakarta Utara, Lampung 30153",True
82,SUP000082,CV PT Lestari Wholesale,"R. Septi Firgantoro, S.Sos",frajata@pt.edu,(0082) 209-5614,Bandung,Jawa Barat,"Jl. Gardujati No. 5, Lubuklinggau, KT 17471",True
83,SUP000083,CV Perum Firmansyah Global,"Drs. Mahesa Saputra, M.Farm",lantar27@pt.int,+62 (40) 435 5667,Bandung,Jawa Barat,"Gang Ahmad Dahlan No. 2, Surabaya, JA 15309",True
84,SUP000084,CV PD Hassanah (Persero) Tbk Wholesale,Argono Hariyah,kayunhakim@pt.web.id,+62 (0568) 153-0355,Bekasi,Jawa Barat,"Jalan Yos Sudarso No. 956, Lubuklinggau, Jawa Timur 43704",True
85,SUP000085,CV Perum Rahimah Tbk Mandiri,"Raisa Najmudin, M.Ak",harjasa66@ud.mil.id,+62 (0503) 723-6880,Jakarta,DKI Jakarta,"Gg. KH Amin Jasuta No. 710, Tidore Kepulauan, LA 91746",True
86,SUP000086,CV Perum Gunarto Sejahtera,"Nadine Tamba, S.Pd",auwais@ud.net.id,0871096038,Surabaya,Jawa Timur,"Jl. Ciwastra No. 85, Manado, SN 38431",True
87,SUP000087,PT CV Safitri Rahimah (Persero) Tbk Nusantara,"Kasusra Halim, S.T.",maryadimansur@cv.biz.id,(0777) 338 2467,Bogor,Jawa Barat,"Gang Raya Setiabudhi No. 095, Probolinggo, BB 80928",True
88,SUP000088,CV PT Budiman Aryani (Persero) Tbk Retail,Surya Waluyo,tbudiyanto@cv.desa.id,+62 (38) 691-1965,Denpasar,Bali,"Jl. Cikutra Timur No. 065, Pontianak, Maluku Utara 45575",True
89,SUP000089,CV Perum Pratiwi Trading,Ian Iswahyudi,wahyunicandra@pd.net.id,081 679 1522,Bandung,Jawa Barat,"Gg. Gedebage Selatan No. 0, Palopo, JI 82301",True
90,SUP000090,CV UD Laksmiwati Trading,Cici Yuniar,ajengwasita@pd.gov,+62 (378) 964-1067,Jakarta,DKI Jakarta,"Jalan Asia Afrika No. 39, Sabang, Sumatera Barat 95843",True
91,SUP000091,CV UD Purnawati (Persero) Tbk Supply,"Cemani Kuswandari, S.Kom",sihombingajiman@pt.ac.id,+62 (523) 703-0336,Denpasar,Bali,"Jl. Dr. Djunjunan No. 96, Palangkaraya, Papua 87871",True
92,SUP000092,PT UD Tampubolon Hardiansyah Nusantara,Septi Mandasari,rosmansalahudin@perum.id,+62 (047) 977 7322,Surabaya,Jawa Timur,"Jalan Lembong No. 97, Pangkalpinang, DKI Jakarta 41511",True
93,SUP000093,CV Perum Agustina (Persero) Tbk Sejahtera,Raisa Wibowo,novitasarifitriani@ud.id,+62 (727) 443-3575,Yogyakarta,DI Yogyakarta,"Gg. Ir. H. Djuanda No. 647, Langsa, ST 73038",True
94,SUP000094,PT PD Siregar Hartati Tbk Distribution,"Drs. Citra Aryani, M.Pd",fsaefullah@perum.sch.id,(0515) 831 4163,Bogor,Jawa Barat,"Jalan Ahmad Yani No. 45, Metro, Nusa Tenggara Timur 07149",True
95,SUP000095,CV PD Zulaika Tbk Sejahtera,"Drs. Ganda Marbun, M.Ak",gunartoharto@perum.net.id,+62-071-679-3703,Denpasar,Bali,"Jalan Ahmad Yani No. 65, Kota Administrasi Jakarta Barat, SG 44309",True
96,SUP000096,CV PD Widodo Trading,"Tiara Novitasari, M.TI.",inakurniawan@pd.org,+62-0189-188-0401,Denpasar,Bali,"Jl. Ahmad Dahlan No. 83, Kota Administrasi Jakarta Utara, BB 43748",True
97,SUP000097,PT CV Pradipta Pranowo Mandiri,"Ciaobella Nugroho, S.Farm",namagaartawan@cv.go.id,+62 (99) 170-5600,Bekasi,Jawa Barat,"Gg. PHH. Mustofa No. 628, Madiun, SN 68680",True
98,SUP000098,PT UD Wastuti Zulkarnain Nusantara,Siska Zulkarnain,hwibisono@perum.com,+62 (36) 268-1667,Bandung,Jawa Barat,"Jalan Tebet Barat Dalam No. 266, Tual, Sulawesi Barat 82049",True
99,SUP000099,PT CV Marbun Wholesale,Lala Wulandari,fwidiastuti@ud.ac.id,+62 (975) 477-7631,Surabaya,Jawa Timur,"Jl. Wonoayu No. 76, Kendari, Kalimantan Tengah 69182",True
100,SUP000100,CV CV Rahimah Utama Distribution,Dr. Warta Halimah,saptonoopan@pd.my.id,(0773) 883 0484,Jakarta,DKI Jakarta,"Jl. Indragiri No. 94, Manado, KR 17215",True
101,SUP000101,PT PT Halim Mandiri,"Galih Habibi, S.Ked",opranowo@perum.go.id,(070) 388 7303,Yogyakarta,DI Yogyakarta,"Jalan Cikapayang No. 20, Pasuruan, AC 79797",True
102,SUP000102,CV Perum Purnawati Suartini Tbk Global,Mala Hutapea,spangestu@cv.ac.id,+62 (0855) 113-5144,Yogyakarta,DI Yogyakarta,"Gg. Ahmad Yani No. 1, Sukabumi, Bengkulu 19791",True
103,SUP000103,PT Perum Prakasa (Persero) Tbk Nusantara,Zulfa Mayasari,teddy84@pt.net.id,+62-0288-927-9951,Surabaya,Jawa Timur,"Gang Pacuan Kuda No. 183, Padangpanjang, MA 96685",True
104,SUP000104,PT PD Pratama Tampubolon (Persero) Tbk Sejahtera,"Mila Pertiwi, M.Pd",ghandayani@perum.biz.id,+62 (695) 671 4379,Surabaya,Jawa Timur,"Gg. Pelajar Pejuang No. 186, Pangkalpinang, Jambi 61638",True
105,SUP000105,PT CV Hastuti Samosir Trading,"Galur Prastuti, M.Farm",jati14@pd.gov,0810413716,Medan,Sumatera Utara,"Gang H.J Maemunah No. 141, Subulussalam, SG 82733",True
106,SUP000106,CV PD Halimah Prasetya Sejahtera,"Nasim Susanti, S.Ked",imayasari@perum.mil,0844490387,Bekasi,Jawa Barat,"Jalan Dipenogoro No. 755, Palembang, Banten 78898",True
107,SUP000107,PT UD Kusmawati Rahmawati Trading,Hafshah Nababan,kuswandaribagya@cv.net.id,+62-0796-149-9591,Bandung,Jawa Barat,"Jalan Monginsidi No. 1, Tasikmalaya, Sumatera Utara 13888",True
108,SUP000108,CV CV Suartini Santoso (Persero) Tbk Supply,Salwa Farida,wijayantiraisa@cv.mil,+62-757-136-5072,Jakarta,DKI Jakarta,"Jalan Jend. Sudirman No. 93, Bau-Bau, Aceh 69124",True
109,SUP000109,PT CV Siregar Tbk Sejahtera,Edison Yuliarti,upudjiastuti@pd.ac.id,(0011) 922 7413,Jakarta,DKI Jakarta,"Jl. Otto Iskandardinata No. 9, Ambon, Riau 39999",True
110,SUP000110,CV PD Hidayat Tbk Retail,Cawisono Rahayu,puji79@pd.ponpes.id,+62-979-386-0266,Bandung,Jawa Barat,"Gg. Kendalsari No. 2, Purwokerto, Kalimantan Timur 19741",True
111,SUP000111,PT CV Wastuti (Persero) Tbk Global,"Cakrawala Iswahyudi, S.IP",ekamayasari@perum.net,(0732) 163-7524,Bandung,Jawa Barat,"Gg. Asia Afrika No. 4, Malang, Sulawesi Barat 83440",True
112,SUP000112,PT Perum Nashiruddin Distribution,"Dr. Mala Maryati, S.H.",omar69@pd.ac.id,+62 (058) 435 9025,Denpasar,Bali,"Gang Ronggowarsito No. 404, Kota Administrasi Jakarta Utara, Kalimantan Selatan 29784",True
113,SUP000113,CV PT Santoso Kuswoyo (Persero) Tbk Sejahtera,"Ir. Karen Sihotang, S.Psi",hakimyoga@ud.net,(091) 250 7313,Makassar,Sulawesi Selatan,"Jalan Moch. Ramdan No. 77, Sukabumi, Sulawesi Tengah 57626",True
114,SUP000114,CV UD Simbolon Prasetya Nusantara,Darimin Narpati,lazuardibanawi@perum.go.id,0873208292,Medan,Sumatera Utara,"Jalan Ciumbuleuit No. 5, Kota Administrasi Jakarta Barat, Papua 09534",True
115,SUP000115,CV PD Yuniar Mandiri,Rachel Siregar,cindynuraini@pt.net.id,(069) 266 8638,Bogor,Jawa Barat,"Gg. Tubagus Ismail No. 9, Meulaboh, PA 32220",True
116,SUP000116,PT CV Pradana Saefullah Tbk Nusantara,Kajen Putra,vzulaika@ud.go.id,+62 (685) 613 7804,Makassar,Sulawesi Selatan,"Jalan Monginsidi No. 52, Metro, JB 03969",True
117,SUP000117,PT PD Narpati Sitompul (Persero) Tbk Sejahtera,Cut Rahmi Gunarto,tami65@ud.desa.id,+62 (07) 264 7594,Makassar,Sulawesi Selatan,"Gang Dipenogoro No. 052, Kediri, SB 38948",True
118,SUP000118,CV UD Hakim Mustofa Nusantara,"Dt. Bakijan Purnawati, S.Ked",hastutianita@perum.sch.id,(082) 642 7985,Bandung,Jawa Barat,"Gg. Monginsidi No. 58, Probolinggo, Maluku Utara 26103",True
119,SUP000119,CV UD Purwanti Hassanah Tbk Trading,Yuliana Tarihoran,piswahyudi@perum.mil.id,(0535) 522-0688,Bandung,Jawa Barat,"Jalan Sadang Serang No. 529, Sibolga, KT 80276",True
120,SUP000120,PT PT Simanjuntak Indonesia,"Paulin Hutasoit, M.Pd",jatmikolailasari@pd.my.id,(055) 136-8133,Bogor,Jawa Barat,"Jl. Asia Afrika No. 5, Mataram, SS 64752",True
121,SUP000121,PT UD Gunawan Mardhiyah (Persero) Tbk Trading,Bella Rahmawati,bahuwiryapuspita@pd.biz.id,+62 (059) 031-4489,Bandung,Jawa Barat,"Jl. Pacuan Kuda No. 325, Banjarbaru, JK 74607",True
