purchase_key,purchase_code,purchase_date_key,supplier_key,employee_key,store_key,payment_key,product_key,quantity,unit_cost,subtotal,discount_percent,discount_amount,tax_percent,tax_amount,total_amount,purchase_status,supplier_invoice_no,expected_delivery_date
63,PUR000063,20231201,59,162,7,18,551,97,559100,54232700,10,5423270,11,5369037,54178467,Completed,INV-SUP-202312-000063,2023-12-13
64,PUR000064,20241212,1,68,20,6,35,28,3715107,104022996,6,6241379,11,10755977,108537594,Completed,INV-SUP-202412-000064,2024-12-20
65,PUR000065,20250115,103,247,7,12,650,57,429624,24488568,5,1224428,11,2559055,25823195,Completed,INV-SUP-202501-000065,2025-01-27
66,PUR000066,20241018,109,50,1,18,63,92,378972,34865424,4,1394616,11,3681788,37152596,Pending,INV-SUP-202410-000066,2024-10-28
67,PUR000067,20231128,97,41,25,15,607,258,8700,2244600,8,179568,11,227153,2292185,Completed,INV-SUP-202311-000067,2023-12-06
68,PUR000068,20251224,86,156,16,11,787,139,106300,14775700,12,1773084,11,1430287,14432903,Completed,INV-SUP-202512-000068,2026-01-07
69,PUR000069,20220823,57,94,23,15,313,28,923140,25847920,9,2326312,11,2587376,26108984,Completed,INV-SUP-202208-000069,2022-09-05
70,PUR000070,20230727,11,152,20,13,638,427,47071,20099317,14,2813904,0,0,17285413,Completed,INV-SUP-202307-000070,2023-08-02
71,PUR000071,20250606,57,280,10,7,7,150,35244,5286600,12,634392,11,511742,5163950,Completed,INV-SUP-202506-000071,2025-06-14
72,PUR000072,20230726,70,247,21,9,203,371,391779,145350009,9,13081500,11,14549535,146818044,Completed,INV-SUP-202307-000072,2023-08-04
73,PUR000073,20251012,121,45,24,7,896,48,296537,14233776,10,1423377,11,1409143,14219542,Completed,INV-SUP-202510-000073,2025-10-23
74,PUR000074,20260328,55,163,10,4,884,18,5879118,105824124,14,14815377,11,10010962,101019709,Completed,INV-SUP-202603-000074,2026-04-11
75,PUR000075,20230614,3,58,13,3,800,5,9847624,49238120,2,984762,11,5307869,53561227,Completed,INV-SUP-202306-000075,2023-06-17
76,PUR000076,20231101,143,9,3,9,458,444,79300,35209200,2,704184,0,0,34505016,Completed,INV-SUP-202311-000076,2023-11-15
77,PUR000077,20230514,23,136,20,4,104,401,6565,2632565,10,263256,11,260623,2629932,Completed,INV-SUP-202305-000077,2023-05-27
78,PUR000078,20230917,15,299,18,12,754,8,2955700,23645600,10,2364560,11,2340914,23621954,Completed,INV-SUP-202309-000078,2023-10-01
79,PUR000079,20250310,122,140,8,9,372,22,2846606,62625332,14,8767546,11,5924356,59782142,Completed,INV-SUP-202503-000079,2025-03-14
80,PUR000080,20231129,95,1,9,3,697,5,5482224,27411120,0,0,11,3015223,30426343,Completed,INV-SUP-202311-000080,2023-12-12
81,PUR000081,20240916,77,96,1,12,85,44,1707506,75130264,2,1502605,11,8099042,81726701,Completed,INV-SUP-202409-000081,2024-09-18
82,PUR000082,20260707,77,53,24,12,803,67,2528600,169416200,3,5082486,11,18076708,182410422,Completed,INV-SUP-202607-000082,2026-07-21
83,PUR000083,20221107,65,27,3,1,100,116,388962,45119592,12,5414351,11,4367576,44072817,Completed,INV-SUP-202211-000083,2022-11-15
84,PUR000084,20250520,135,74,18,5,799,41,374096,15337936,15,2300690,11,1434097,14471343,Completed,INV-SUP-202505-000084,2025-05-29
85,PUR000085,20260107,44,41,19,5,190,117,352500,41242500,6,2474550,11,4264474,43032424,Pending,INV-SUP-202601-000085,2026-01-20
86,PUR000086,20240917,27,195,15,18,114,39,11566000,451074000,13,58639620,11,43167781,435602161,Completed,INV-SUP-202409-000086,2024-09-30
87,PUR000087,20220512,134,78,9,4,553,10,1346004,13460040,15,2019006,11,1258513,12699547,Completed,INV-SUP-202205-000087,2022-05-24
88,PUR000088,20260823,87,275,15,5,279,68,668676,45469968,1,454699,11,4951679,49966948,Completed,INV-SUP-202608-000088,2026-08-25
89,PUR000089,20220604,1,262,16,3,184,7,20588876,144122132,9,12970991,11,14426625,145577766,Completed,INV-SUP-202206-000089,2022-06-15
90,PUR000090,20240320,53,281,2,13,857,452,16268,7353136,0,0,11,808844,8161980,Completed,INV-SUP-202403-000090,2024-03-28
91,PUR000091,20220110,129,147,20,10,779,220,117315,25809300,3,774279,11,2753852,27788873,Completed,INV-SUP-202201-000091,2022-01-18
92,PUR000092,20250517,9,90,17,15,238,134,1322900,177268600,11,19499546,11,17354595,175123649,Completed,INV-SUP-202505-000092,2025-05-20
93,PUR000093,20230425,8,239,7,16,514,118,868378,102468604,5,5123430,11,10707969,108053143,Completed,INV-SUP-202304-000093,2023-04-29
94,PUR000094,20260207,36,240,3,4,50,138,344700,47568600,10,4756860,11,4709291,47521031,Completed,INV-SUP-202602-000094,2026-02-13
95,PUR000095,20230111,27,228,1,3,907,8,5019293,40154344,14,5621608,11,3798600,38331336,Completed,INV-SUP-202301-000095,2023-01-13
96,PUR000096,20251120,47,11,1,4,684,18,3275016,58950288,11,6484531,11,5771233,58236990,Completed,INV-SUP-202511-000096,2025-11-26
97,PUR000097,20240119,22,286,16,7,800,27,9847624,265885848,9,23929726,11,26615173,268571295,Completed,INV-SUP-202401-000097,2024-01-30
98,PUR000098,20220321,102,109,25,8,555,16,5014347,80229552,9,7220659,11,8030978,81039871,Completed,INV-SUP-202203-000098,2022-03-30
99,PUR000099,20230723,140,287,10,1,468,34,6183144,210226896,4,8409075,11,22199960,224017781,Completed,INV-SUP-202307-000099,2023-07-30
100,PUR000100,20230205,45,78,4,13,989,26,5847864,152044464,6,9122667,11,15721397,158643194,Pending,INV-SUP-202302-000100,2023-02-08
101,PUR000101,20260111,124,98,12,16,14,180,299000,53820000,2,1076400,11,5801796,58545396,Completed,INV-SUP-202601-000101,2026-01-19
102,PUR000102,20260504,106,48,24,1,246,336,24400,8198400,0,0,11,901824,9100224,Completed,INV-SUP-202605-000102,2026-05-11
103,PUR000103,20240909,135,14,25,11,934,23,6723534,154641282,4,6185651,11,16330119,164785750,Completed,INV-SUP-202409-000103,2024-09-23
104,PUR000104,20260807,11,280,20,18,280,279,6272,1749888,13,227485,11,167464,1689867,Completed,INV-SUP-202608-000104,2026-08-20
105,PUR000105,20240924,64,278,16,2,739,29,2075400,60186600,13,7824258,11,5759857,58122199,Completed,INV-SUP-202409-000105,2024-10-01
106,PUR000106,20260305,78,161,1,17,870,266,36764,9779224,14,1369091,11,925114,9335247,Completed,INV-SUP-202603-000106,2026-03-08
107,PUR000107,20251028,122,68,16,3,705,29,701876,20354404,9,1831896,11,2037475,20559983,Completed,INV-SUP-202510-000107,2025-10-30
108,PUR000108,20241114,127,195,19,2,599,59,779395,45984305,7,3218901,11,4704194,47469598,Completed,INV-SUP-202411-000108,2024-11-20
109,PUR000109,20241024,30,269,12,16,597,63,240196,15132348,10,1513234,11,1498102,15117216,Completed,INV-SUP-202410-000109,2024-11-04
110,PUR000110,20240713,102,258,22,11,311,155,885136,137196080,2,2743921,11,14789737,149241896,Completed,INV-SUP-202407-000110,2024-07-20
111,PUR000111,20250908,96,16,17,6,645,406,3600,1461600,3,43848,0,0,1417752,Completed,INV-SUP-202509-000111,2025-09-15
112,PUR000112,20240816,111,9,16,7,766,28,2963239,82970692,10,8297069,11,8214098,82887721,Completed,INV-SUP-202408-000112,2024-08-23
113,PUR000113,20261111,18,287,24,18,91,107,296842,31762094,14,4446693,11,3004694,30320095,Completed,INV-SUP-202611-000113,2026-11-13
114,PUR000114,20250924,6,230,6,11,713,115,474810,54603150,11,6006346,11,5345648,53942452,Cancelled,INV-SUP-202509-000114,2025-10-02
115,PUR000115,20220812,61,105,8,16,489,386,31008,11969088,11,1316599,11,1171773,11824262,Completed,INV-SUP-202208-000115,2022-08-20
116,PUR000116,20231109,39,142,11,4,739,85,2096154,178173090,14,24944232,11,16855174,170084032,Completed,INV-SUP-202311-000116,2023-11-20
117,PUR000117,20250504,61,2,24,7,954,15,11734079,176011185,4,7040447,11,18586781,187557519,Pending,INV-SUP-202505-000117,2025-05-07
118,PUR000118,20250115,111,214,20,9,124,27,10327400,278839800,0,0,11,30672378,309512178,Pending,INV-SUP-202501-000118,2025-01-17
119,PUR000119,20261119,108,40,15,6,446,216,48200,10411200,11,1145232,0,0,9265968,Completed,INV-SUP-202611-000119,2026-11-30
120,PUR000120,20260729,78,9,8,11,574,35,1899700,66489500,0,0,11,7313845,73803345,Completed,INV-SUP-202607-000120,2026-08-11
121,PUR000121,20260921,52,209,14,9,652,117,185658,21721986,3,651659,11,2317735,23388062,Completed,INV-SUP-202609-000121,2026-10-01
122,PUR000122,20240719,8,241,23,18,73,28,164226,4598328,8,367866,11,465350,4695812,Completed,INV-SUP-202407-000122,2024-07-29
123,PUR000123,20231104,125,52,6,10,254,92,392882,36145144,14,5060320,11,3419330,34504154,Completed,INV-SUP-202311-000123,2023-11-13
124,PUR000124,20231231,108,261,19,7,423,147,515167,75729549,0,0,11,8330250,84059799,Pending,INV-SUP-202312-000124,2024-01-13
125,PUR000125,20241231,3,243,13,12,700,252,10989,2769228,6,166153,0,0,2603075,Completed,INV-SUP-202412-000125,2025-01-04
126,PUR000126,20230213,33,123,14,13,757,49,1967403,96402747,9,8676247,11,9649915,97376415,Completed,INV-SUP-202302-000126,2023-02-27
127,PUR000127,20231129,85,133,6,13,150,379,1459110,553002690,0,0,11,60830295,613832985,Completed,INV-SUP-202311-000127,2023-12-10
128,PUR000128,20230512,58,283,6,7,225,27,125631,3392037,7,237442,0,0,3154595,Completed,INV-SUP-202305-000128,2023-05-21
129,PUR000129,20260318,131,195,17,5,530,460,1238496,569708160,12,68364979,11,55147749,556490930,Completed,INV-SUP-202603-000129,2026-03-25
130,PUR000130,20230218,85,101,4,5,605,95,543737,51655015,11,5682051,11,5057026,51029990,Completed,INV-SUP-202302-000130,2023-03-04
131,PUR000131,20261221,100,228,9,7,527,16,18162738,290603808,14,40684533,11,27491120,277410395,Completed,INV-SUP-202612-000131,2026-12-28
132,PUR000132,20230607,57,59,16,10,95,149,30652,4567148,12,548057,11,442100,4461191,Completed,INV-SUP-202306-000132,2023-06-16
133,PUR000133,20240806,104,245,23,17,317,59,93100,5492900,14,769006,11,519628,5243522,Completed,INV-SUP-202408-000133,2024-08-13
134,PUR000134,20240116,7,204,8,7,239,134,328957,44080238,13,5730430,11,4218478,42568286,Completed,INV-SUP-202401-000134,2024-01-28
135,PUR000135,20230411,108,106,5,6,729,35,61206,2142210,9,192798,11,214435,2163847,Completed,INV-SUP-202304-000135,2023-04-21
136,PUR000136,20220227,20,127,17,8,317,95,94031,8932945,12,1071953,11,864709,8725701,Completed,INV-SUP-202202-000136,2022-03-11
137,PUR000137,20230128,72,182,2,2,549,154,346389,53343906,2,1066878,11,5750473,58027501,Pending,INV-SUP-202301-000137,2023-02-10
138,PUR000138,20230215,115,19,10,15,44,116,316600,36725600,14,5141584,11,3474241,35058257,Completed,INV-SUP-202302-000138,2023-02-18
139,PUR000139,20220602,44,53,1,3,871,179,398404,71314316,14,9984004,11,6746334,68076646,Completed,INV-SUP-202206-000139,2022-06-04
140,PUR000140,20221104,98,32,14,5,47,337,40582,13676134,14,1914658,11,1293762,13055238,Completed,INV-SUP-202211-000140,2022-11-12
141,PUR000141,20240525,104,172,13,4,41,133,1170675,155699775,12,18683973,11,15071738,152087540,Completed,INV-SUP-202405-000141,2024-05-28
142,PUR000142,20260311,3,84,21,17,971,233,85200,19851600,7,1389612,11,2030818,20492806,Completed,INV-SUP-202603-000142,2026-03-17
143,PUR000143,20250703,82,291,9,17,872,66,845064,55774224,1,557742,11,6073813,61290295,Completed,INV-SUP-202507-000143,2025-07-15
144,PUR000144,20250329,124,159,24,2,975,172,79152,13614144,2,272282,11,1467604,14809466,Pending,INV-SUP-202503-000144,2025-04-08
145,PUR000145,20250202,29,252,20,17,359,8,3148497,25187976,11,2770677,11,2465902,24883201,Pending,INV-SUP-202502-000145,2025-02-15
146,PUR000146,20240614,86,6,3,4,581,92,732844,67421648,2,1348432,11,7268053,73341269,Completed,INV-SUP-202406-000146,2024-06-22
147,PUR000147,20250326,133,44,5,13,934,22,6525783,143567226,8,11485378,11,14529003,146610851,Completed,INV-SUP-202503-000147,2025-03-30
148,PUR000148,20261221,121,146,11,15,970,127,340659,43263693,4,1730547,11,4568646,46101792,Completed,INV-SUP-202612-000148,2026-12-28
149,PUR000149,20230219,131,120,8,8,437,242,59598,14422716,12,1730725,0,0,12691991,Completed,INV-SUP-202302-000149,2023-02-22
150,PUR000150,20241112,17,283,8,8,406,227,9603,2179881,6,130792,11,225399,2274488,Completed,INV-SUP-202411-000150,2024-11-18
151,PUR000151,20220129,123,49,3,8,982,25,9333139,233328475,1,2333284,11,25409471,256404662,Completed,INV-SUP-202201-000151,2022-02-07
152,PUR000152,20251105,106,79,16,2,698,47,1278410,60085270,7,4205968,11,6146723,62026025,Completed,INV-SUP-202511-000152,2025-11-07
153,PUR000153,20250902,44,285,24,13,445,438,20094,8801172,3,264035,0,0,8537137,Completed,INV-SUP-202509-000153,2025-09-11
154,PUR000154,20230623,134,164,4,17,422,108,1407132,151970256,7,10637917,11,15546557,156878896,Completed,INV-SUP-202306-000154,2023-06-30
155,PUR000155,20250812,51,45,3,9,485,81,146775,11888775,12,1426653,0,0,10462122,Completed,INV-SUP-202508-000155,2025-08-17
156,PUR000156,20220516,145,224,9,4,352,12,1626702,19520424,2,390408,11,2104301,21234317,Completed,INV-SUP-202205-000156,2022-05-18
157,PUR000157,20220521,110,271,6,7,237,9,7312897,65816073,11,7239768,11,6443393,65019698,Completed,INV-SUP-202205-000157,2022-05-27
158,PUR000158,20250212,125,35,18,8,165,79,1134243,89605197,8,7168415,11,9068046,91504828,Completed,INV-SUP-202502-000158,2025-02-21
159,PUR000159,20221109,111,45,17,8,728,6,499445,2996670,2,59933,11,323041,3259778,Completed,INV-SUP-202211-000159,2022-11-22
160,PUR000160,20240110,76,14,8,16,631,61,1838448,112145328,5,5607266,11,11719186,118257248,Completed,INV-SUP-202401-000160,2024-01-23
161,PUR000161,20250313,64,94,4,6,878,45,3422034,153991530,0,0,11,16939068,170930598,Completed,INV-SUP-202503-000161,2025-03-23
162,PUR000162,20220812,133,166,24,6,338,118,119382,14087076,10,1408707,0,0,12678369,Completed,INV-SUP-202208-000162,2022-08-17
163,PUR000163,20230622,63,130,5,4,258,10,4738000,47380000,14,6633200,11,4482148,45228948,Completed,INV-SUP-202306-000163,2023-07-02
164,PUR000164,20251110,53,82,8,9,2,18,9699792,174596256,3,5237887,11,18629420,187987789,Completed,INV-SUP-202511-000164,2025-11-16
165,PUR000165,20261008,93,150,3,15,614,66,2542574,167809884,9,15102889,11,16797769,169504764,Completed,INV-SUP-202610-000165,2026-10-17
166,PUR000166,20250213,150,200,9,9,44,145,326098,47284210,4,1891368,11,4993212,50386054,Completed,INV-SUP-202502-000166,2025-02-27
167,PUR000167,20240217,13,73,11,1,784,58,303348,17594184,14,2463185,11,1664409,16795408,Completed,INV-SUP-202402-000167,2024-02-20
168,PUR000168,20250416,100,18,8,1,36,74,57000,4218000,0,0,11,463980,4681980,Completed,INV-SUP-202504-000168,2025-04-18
169,PUR000169,20220523,123,211,17,13,626,13,14488017,188344221,15,28251633,11,17610184,177702772,Completed,INV-SUP-202205-000169,2022-06-03
170,PUR000170,20230204,133,13,16,9,389,183,44064,8063712,14,1128919,11,762827,7697620,Completed,INV-SUP-202302-000170,2023-02-17
171,PUR000171,20220929,15,275,20,3,953,145,709100,102819500,0,0,11,11310145,114129645,Completed,INV-SUP-202209-000171,2022-10-13
172,PUR000172,20260512,61,222,2,9,256,6,20877894,125267364,4,5010694,11,13228233,133484903,Completed,INV-SUP-202605-000172,2026-05-24
173,PUR000173,20231009,98,146,20,13,860,80,195500,15640000,1,156400,0,0,15483600,Pending,INV-SUP-202310-000173,2023-10-23
174,PUR000174,20250928,131,217,3,14,339,16,15669423,250710768,0,0,11,27578184,278288952,Completed,INV-SUP-202509-000174,2025-10-06
175,PUR000175,20230513,18,39,3,1,302,9,5177799,46600191,8,3728015,11,4715939,47588115,Completed,INV-SUP-202305-000175,2023-05-27
176,PUR000176,20221205,132,4,16,8,854,28,667359,18686052,6,1121163,11,1932137,19497026,Completed,INV-SUP-202212-000176,2022-12-09
177,PUR000177,20260923,106,290,6,15,226,2,3495948,6991896,9,629270,11,699888,7062514,Completed,INV-SUP-202609-000177,2026-09-27
178,PUR000178,20240912,15,99,10,18,274,22,6772050,148985100,3,4469553,11,15896710,160412257,Completed,INV-SUP-202409-000178,2024-09-16
179,PUR000179,20260427,137,246,6,2,378,10,2644113,26441130,7,1850879,11,2704927,27295178,Completed,INV-SUP-202604-000179,2026-05-11
180,PUR000180,20230427,33,184,1,2,948,26,2450745,63719370,12,7646324,11,6168035,62241081,Completed,INV-SUP-202304-000180,2023-05-02
181,PUR000181,20230203,42,128,22,12,791,101,1263200,127583200,0,0,11,14034152,141617352,Completed,INV-SUP-202302-000181,2023-02-10
182,PUR000182,20260523,69,236,25,4,114,36,11566000,416376000,0,0,11,45801360,462177360,Completed,INV-SUP-202605-000182,2026-06-06
183,PUR000183,20250907,66,181,16,2,463,24,5547960,133151040,11,14646614,11,13035486,131539912,Completed,INV-SUP-202509-000183,2025-09-09
184,PUR000184,20240417,137,128,6,6,802,23,168569,3877087,10,387708,11,383831,3873210,Pending,INV-SUP-202404-000184,2024-04-25
185,PUR000185,20240201,129,132,19,2,429,27,1129344,30492288,2,609845,11,3287068,33169511,Completed,INV-SUP-202402-000185,2024-02-12
186,PUR000186,20241028,137,110,25,8,379,240,45084,10820160,1,108201,11,1178315,11890274,Completed,INV-SUP-202410-000186,2024-11-11
187,PUR000187,20220128,106,221,24,2,928,53,554202,29372706,1,293727,11,3198687,32277666,Completed,INV-SUP-202201-000187,2022-02-06
188,PUR000188,20250831,120,215,7,16,398,8,9458347,75666776,9,6810009,11,7574244,76431011,Completed,INV-SUP-202508-000188,2025-09-02
189,PUR000189,20220212,112,250,17,14,310,330,17098,5642340,0,0,11,620657,6262997,Completed,INV-SUP-202202-000189,2022-02-17
190,PUR000190,20261022,102,289,15,14,322,204,269700,55018800,12,6602256,11,5325819,53742363,Completed,INV-SUP-202610-000190,2026-10-26
191,PUR000191,20260630,75,17,1,12,101,215,28420,6110300,4,244412,11,645247,6511135,Completed,INV-SUP-202606-000191,2026-07-10
192,PUR000192,20260713,63,202,14,6,670,26,2371783,61666358,4,2466654,11,6511967,65711671,Completed,INV-SUP-202607-000192,2026-07-20
193,PUR000193,20240603,4,77,12,11,590,90,232401,20916090,6,1254965,11,2162723,21823848,Completed,INV-SUP-202406-000193,2024-06-06
194,PUR000194,20241030,114,157,3,5,589,89,95041,8458649,11,930451,11,828101,8356299,Completed,INV-SUP-202410-000194,2024-11-09
