return_key,return_code,sales_key,sales_detail_key,product_key,stock_key,return_date_key,return_quantity,unit_price,gross_return,discount_amount,tax_amount,refund_amount,cost_price,return_reason,refund_method,return_status
47,RET000047,29072,76953,785,12905,20260216,2,2025900,4051800,0,445698,4497498,1837900,Defective Product,Store Credit,Completed
48,RET000048,19460,51599,352,5722,20230912,1,1923500,1923500,0,211585,2135085,1659900,Damaged Product,Bank Transfer,Completed
49,RET000049,26223,69521,31,520,20230406,7,9400,65800,0,0,65800,8000,Duplicate Order,E-Wallet,Completed
50,RET000050,23186,61512,327,5320,20241120,1,1088100,1088100,0,119691,1207791,715700,Incorrect Size,Bank Transfer,Completed
51,RET000051,23933,63529,812,13327,20230206,2,1298400,2596800,0,285648,2882448,950200,Defective Product,Bank Transfer,Pending
52,RET000052,4196,11129,632,10361,20260701,3,55100,165300,8265,17273,174308,39200,Wrong Item Sent,E-Wallet,Completed
53,RET000053,10429,27629,358,5825,20260129,2,62400,124800,10000,0,114800,52200,Damaged Product,Voucher,Completed
54,RET000054,1520,3990,236,3843,20220304,3,2778600,8335800,0,916938,9252738,2018100,Defective Product,E-Wallet,Completed
55,RET000055,18774,49740,838,13740,20250507,4,1698600,6794400,100000,736384,7430784,1128900,Late Delivery,Bank Transfer,Completed
56,RET000056,23185,61508,860,14111,20220731,1,235800,235800,35370,0,200430,195500,Customer Changed Mind,E-Wallet,Completed
57,RET000057,23185,61510,858,14076,20220731,1,330400,330400,0,36344,366744,213200,Quality Issue,Store Credit,Completed
58,RET000058,3770,10011,991,16204,20230820,1,471700,471700,0,51887,523587,311200,Defective Product,Voucher,Completed
59,RET000059,3770,10013,32,522,20230820,3,1538400,4615200,0,507672,5122872,1149000,Incorrect Size,E-Wallet,Completed
60,RET000060,28784,76182,757,12427,20260510,2,2996000,5992000,299600,626164,6318564,1910100,Defective Product,Voucher,Completed
61,RET000061,12887,34224,149,2451,20220525,2,353200,706400,0,77704,784104,260100,Expired Product,E-Wallet,Completed
62,RET000062,11336,30034,254,4148,20260511,1,635200,635200,63520,62884,634564,400900,Expired Product,Bank Transfer,Completed
63,RET000063,7858,20837,932,15266,20250908,1,500400,500400,25020,52291,527671,364600,Duplicate Order,E-Wallet,Completed
64,RET000064,7858,20838,533,8720,20250908,1,3630700,3630700,363070,359439,3627069,2733100,Quality Issue,Voucher,Completed
65,RET000065,26536,70282,59,959,20230618,2,108200,216400,0,23804,240204,78200,Wrong Item Sent,E-Wallet,Completed
66,RET000066,14505,38544,233,3799,20220426,1,281500,281500,0,30965,312465,228400,Damaged Product,Bank Transfer,Completed
67,RET000067,14505,38545,588,9627,20220426,1,616900,616900,0,67859,684759,487400,Quality Issue,E-Wallet,Completed
68,RET000068,16099,42667,887,14532,20250712,1,2864100,2864100,0,315051,3179151,2271500,Customer Changed Mind,E-Wallet,Completed
69,RET000069,16974,44941,690,11301,20250802,1,396300,396300,0,43593,439893,282600,Customer Changed Mind,Bank Transfer,Completed
70,RET000070,8195,21703,493,8064,20260220,1,3075600,3075600,0,338316,3413916,2206500,Defective Product,Bank Transfer,Rejected
71,RET000071,8195,21704,75,1224,20260220,1,30100,30100,0,0,30100,22700,Damaged Product,Bank Transfer,Completed
72,RET000072,1135,2978,618,10128,20240617,1,15397000,15397000,769850,1608986,16236136,13391900,Customer Changed Mind,Store Credit,Completed
73,RET000073,11690,30987,859,14082,20260510,2,405800,811600,0,89276,900876,324300,Wrong Item Sent,E-Wallet,Completed
74,RET000074,11690,30989,36,583,20260510,1,68600,68600,0,7546,76146,57000,Customer Changed Mind,Cash,Completed
75,RET000075,11690,30990,667,10931,20260510,2,4069500,8139000,0,895290,9034290,3353000,Late Delivery,Cash,Completed
76,RET000076,3961,10500,133,2184,20251227,1,16927400,16927400,0,1862014,18789414,15129400,Incorrect Size,E-Wallet,Completed
77,RET000077,5225,13959,927,15181,20221109,2,9451900,18903800,0,2079418,20983218,7273200,Customer Changed Mind,E-Wallet,Completed
78,RET000078,5225,13960,851,13958,20221109,4,994800,3979200,0,437712,4416912,705100,Wrong Item Sent,Store Credit,Completed
79,RET000079,14829,39347,263,4284,20250402,1,3316900,3316900,0,364859,3681759,2433400,Customer Changed Mind,Store Credit,Pending
80,RET000080,21058,55860,548,8968,20260228,2,1027800,2055600,6666,225382,2274316,662600,Quality Issue,E-Wallet,Completed
81,RET000081,21058,55862,964,15782,20260228,1,133300,133300,3333,14296,144263,101400,Damaged Product,E-Wallet,Completed
82,RET000082,29063,76930,834,13678,20231118,8,99200,793600,39680,0,753920,88000,Customer Changed Mind,E-Wallet,Completed
83,RET000083,29063,76931,19,312,20231118,4,202700,810800,0,89188,899988,145200,Defective Product,E-Wallet,Completed
84,RET000084,11265,29839,321,5221,20250405,1,1652800,1652800,0,181808,1834608,1316600,Defective Product,Store Credit,Completed
85,RET000085,10330,27383,416,6766,20220209,1,15645200,15645200,0,1720972,17366172,13503000,Quality Issue,E-Wallet,Pending
86,RET000086,3074,8197,510,8347,20241224,2,333600,667200,66666,66058,666592,239700,Customer Changed Mind,Voucher,Completed
87,RET000087,13780,36605,417,6775,20240510,1,636800,636800,0,70048,706848,499100,Customer Changed Mind,E-Wallet,Completed
88,RET000088,13780,36606,980,16034,20240510,2,760400,1520800,0,167288,1688088,622600,Wrong Item Sent,E-Wallet,Completed
89,RET000089,13780,36607,528,8632,20240510,1,1011400,1011400,0,111254,1122654,750000,Wrong Item Sent,E-Wallet,Completed
90,RET000090,13780,36608,509,8322,20240510,1,322700,322700,0,35497,358197,243400,Defective Product,Cash,Completed
91,RET000091,2794,7452,538,8796,20251030,1,4841100,4841100,242055,505894,5104939,3680900,Incorrect Size,E-Wallet,Completed
92,RET000092,23312,61850,954,15624,20231028,1,13620000,13620000,0,1498200,15118200,11617900,Defective Product,E-Wallet,Completed
93,RET000093,9448,25003,95,1550,20240410,1,41500,41500,0,4565,46065,31600,Customer Changed Mind,Voucher,Completed
94,RET000094,21594,57261,569,9340,20240121,4,683400,2733600,0,300696,3034296,545600,Customer Changed Mind,Bank Transfer,Completed
95,RET000095,15319,40622,195,3216,20230615,1,2901800,2901800,0,319198,3220998,2207600,Damaged Product,Cash,Completed
96,RET000096,3077,8201,309,5036,20250924,4,658000,2632000,0,289520,2921520,468700,Customer Changed Mind,Cash,Completed
97,RET000097,4341,11512,649,10639,20220301,1,2241000,2241000,0,246510,2487510,1506700,Wrong Item Sent,E-Wallet,Completed
98,RET000098,4341,11515,602,9854,20220301,1,1188100,1188100,0,130691,1318791,868900,Customer Changed Mind,Cash,Completed
99,RET000099,1683,4399,544,8904,20230615,1,9812700,9812700,0,1079397,10892097,8702500,Defective Product,Bank Transfer,Completed
100,RET000100,17466,46258,28,450,20250307,6,57000,342000,0,0,342000,49600,Quality Issue,Bank Transfer,Completed
101,RET000101,17466,46260,608,9941,20250307,1,736700,736700,0,81037,817737,572900,Damaged Product,Cash,Completed
102,RET000102,17466,46261,336,5456,20250307,1,24700,24700,0,2717,27417,20400,Damaged Product,Cash,Completed
103,RET000103,17466,46263,265,4315,20250307,2,1129900,2259800,0,248578,2508378,802900,Late Delivery,Voucher,Completed
104,RET000104,17466,46264,762,12504,20250307,3,36200,108600,0,11946,120546,29300,Damaged Product,Bank Transfer,Completed
105,RET000105,7931,21038,204,3355,20260319,5,225000,1125000,0,123750,1248750,165900,Defective Product,E-Wallet,Completed
106,RET000106,5714,15259,412,6690,20230128,1,1315700,1315700,131570,130254,1314384,929600,Wrong Item Sent,Voucher,Completed
107,RET000107,13231,35179,149,2459,20230223,5,353200,1766000,88300,184547,1862247,260100,Quality Issue,Bank Transfer,Completed
108,RET000108,28742,76074,276,4490,20220819,4,1282800,5131200,0,564432,5695632,806900,Defective Product,Voucher,Completed
109,RET000109,13877,36870,271,4424,20251204,1,6483400,6483400,0,713174,7196574,5369200,Expired Product,E-Wallet,Completed
110,RET000110,6241,16649,629,10308,20220627,4,1967400,7869600,0,865656,8735256,1312500,Customer Changed Mind,E-Wallet,Completed
111,RET000111,19633,52077,901,14760,20220602,2,1742900,3485800,348580,345094,3482314,1143800,Incorrect Size,Store Credit,Completed
112,RET000112,14121,37508,524,8570,20230518,1,14546700,14546700,0,1600137,16146837,12220400,Defective Product,E-Wallet,Completed
113,RET000113,14121,37510,532,8702,20230518,1,26000,26000,0,2860,28860,18500,Damaged Product,Cash,Completed
114,RET000114,6695,17803,859,14085,20220902,1,405800,405800,0,44638,450438,324300,Wrong Item Sent,Voucher,Completed
115,RET000115,12850,34145,749,12305,20241009,1,301800,301800,0,33198,334998,245600,Customer Changed Mind,E-Wallet,Completed
116,RET000116,12850,34146,695,11388,20241009,1,85100,85100,0,0,85100,69400,Defective Product,Cash,Completed
117,RET000117,28125,74460,316,5136,20260321,1,5534700,5534700,0,608817,6143517,4375000,Wrong Item Sent,Store Credit,Completed
118,RET000118,29505,78054,770,12654,20260724,5,44000,220000,88000,14520,146520,32300,Customer Changed Mind,Cash,Completed
119,RET000119,26995,71515,768,12616,20230430,1,49400,49400,0,5434,54834,36400,Customer Changed Mind,Cash,Completed
120,RET000120,26184,69434,402,6529,20220220,1,330300,330300,0,36333,366633,216100,Quality Issue,E-Wallet,Completed
121,RET000121,26184,69435,664,10874,20220220,1,5326500,5326500,0,585915,5912415,4184900,Damaged Product,Voucher,Completed
122,RET000122,4898,13064,657,10773,20220908,1,535500,535500,0,58905,594405,358800,Customer Changed Mind,Cash,Completed
123,RET000123,8993,23819,860,14105,20250330,1,235800,235800,0,0,235800,195500,Customer Changed Mind,E-Wallet,Completed
124,RET000124,602,1517,669,10954,20251221,1,296200,296200,0,32582,328782,239100,Damaged Product,E-Wallet,Completed
125,RET000125,14096,37440,367,5958,20221029,1,2815500,2815500,0,309705,3125205,2135800,Customer Changed Mind,E-Wallet,Completed
126,RET000126,18739,49653,138,2266,20220320,2,1103200,2206400,0,242704,2449104,783800,Customer Changed Mind,Cash,Completed
127,RET000127,18739,49655,854,13996,20220320,1,815700,815700,0,89727,905427,674100,Wrong Item Sent,E-Wallet,Completed
128,RET000128,20442,54176,719,11788,20240602,1,9424400,9424400,471220,984849,9938029,7319500,Incorrect Size,E-Wallet,Completed
129,RET000129,18315,48554,378,6139,20250424,2,2982900,5965800,596580,590614,5959834,2567100,Incorrect Size,Bank Transfer,Completed
130,RET000130,22135,58703,298,4847,20250526,1,115500,115500,0,12705,128205,94700,Damaged Product,Bank Transfer,Completed
131,RET000131,3276,8721,75,1218,20250630,2,30100,60200,0,0,60200,22700,Quality Issue,Bank Transfer,Completed
132,RET000132,1581,4151,229,3743,20240317,3,1054300,3162900,0,347919,3510819,728900,Damaged Product,Store Credit,Completed
133,RET000133,18002,47728,890,14594,20221204,3,176700,530100,26505,55395,558990,138300,Wrong Item Sent,Cash,Completed
134,RET000134,18002,47729,374,6076,20221204,1,2386500,2386500,0,262515,2649015,1736900,Damaged Product,Bank Transfer,Pending
135,RET000135,27162,71964,460,7478,20220206,1,698400,698400,0,76824,775224,516400,Wrong Item Sent,Store Credit,Completed
136,RET000136,27162,71968,692,11328,20220206,1,156700,156700,0,17237,173937,111100,Incorrect Size,Cash,Completed
137,RET000137,882,2311,103,1675,20250314,1,366000,366000,0,40260,406260,261800,Late Delivery,Store Credit,Completed
138,RET000138,22351,59256,645,10569,20220806,3,4200,12600,630,0,11970,3600,Damaged Product,E-Wallet,Completed
139,RET000139,22351,59260,108,1755,20220806,1,509100,509100,0,56001,565101,371300,Quality Issue,Bank Transfer,Completed
140,RET000140,3891,10321,128,2091,20240804,1,2683700,2683700,10000,294107,2967807,2164400,Damaged Product,Voucher,Completed
141,RET000141,3891,10323,684,11202,20240804,1,3833300,3833300,10000,420563,4243863,3210800,Incorrect Size,E-Wallet,Completed
142,RET000142,29283,77447,1,7,20230123,1,516800,516800,0,56848,573648,344100,Customer Changed Mind,E-Wallet,Completed
143,RET000143,10244,27157,454,7386,20241017,1,120000,120000,0,13200,133200,96600,Duplicate Order,Cash,Completed
144,RET000144,17506,46372,708,11595,20260308,3,523900,1571700,0,172887,1744587,375900,Defective Product,E-Wallet,Completed
145,RET000145,26911,71325,653,10701,20260201,6,45000,270000,0,0,270000,39100,Quality Issue,E-Wallet,Completed
146,RET000146,24347,64660,225,3679,20250119,1,161600,161600,8080,0,153520,126900,Damaged Product,Store Credit,Completed
147,RET000147,24347,64661,250,4086,20250119,1,306300,306300,0,33693,339993,248200,Late Delivery,Bank Transfer,Pending
148,RET000148,5585,14913,485,7906,20230311,4,174900,699600,0,0,699600,142500,Damaged Product,E-Wallet,Rejected
149,RET000149,21805,57816,375,6104,20240417,3,232200,696600,0,0,696600,181800,Late Delivery,Bank Transfer,Pending
150,RET000150,21805,57817,988,16172,20240417,4,991700,3966800,595020,370895,3742675,676400,Defective Product,Bank Transfer,Completed
151,RET000151,21805,57818,749,12304,20240417,1,301800,301800,0,33198,334998,245600,Damaged Product,Cash,Completed
152,RET000152,21805,57819,742,12196,20240417,1,3445000,3445000,0,378950,3823950,2754800,Duplicate Order,E-Wallet,Completed
153,RET000153,28301,74927,506,8276,20250225,1,4696600,4696600,0,516626,5213226,3950300,Customer Changed Mind,Cash,Completed
154,RET000154,28301,74928,59,970,20250225,2,108200,216400,32460,20233,204173,78200,Defective Product,Cash,Completed
155,RET000155,25598,67901,876,14371,20251219,2,8103300,16206600,0,1782726,17989326,6239600,Defective Product,E-Wallet,Completed
156,RET000156,1570,4125,719,11789,20240422,1,9424400,9424400,0,1036684,10461084,7319500,Customer Changed Mind,E-Wallet,Completed
157,RET000157,10503,27812,114,1858,20250209,1,14803300,14803300,0,1628363,16431663,11566000,Damaged Product,E-Wallet,Completed
158,RET000158,10503,27814,887,14543,20250209,1,2864100,2864100,0,315051,3179151,2271500,Late Delivery,E-Wallet,Completed
159,RET000159,22974,60881,568,9315,20240414,2,12400,24800,0,2728,27528,10300,Late Delivery,Store Credit,Completed
160,RET000160,22974,60882,87,1405,20240414,2,406700,813400,0,89474,902874,310500,Customer Changed Mind,E-Wallet,Completed
161,RET000161,4350,11536,774,12719,20221230,4,372800,1491200,0,164032,1655232,271100,Damaged Product,E-Wallet,Completed
162,RET000162,21909,58080,270,4388,20250403,7,29100,203700,10185,21286,214801,23500,Expired Product,Bank Transfer,Completed
163,RET000163,23729,62952,448,7296,20220122,2,968900,1937800,0,213158,2150958,705900,Damaged Product,E-Wallet,Completed
164,RET000164,23729,62953,991,16217,20220122,3,471700,1415100,0,155661,1570761,311200,Damaged Product,E-Wallet,Completed
165,RET000165,23885,63402,681,11155,20260418,1,4046300,4046300,0,445093,4491393,3033200,Customer Changed Mind,E-Wallet,Completed
166,RET000166,13281,35302,213,3490,20231227,4,16900,67600,0,7436,75036,12400,Incorrect Size,Bank Transfer,Completed
167,RET000167,13281,35303,35,564,20231227,1,4647000,4647000,0,511170,5158170,3606900,Incorrect Size,Bank Transfer,Completed
168,RET000168,7864,20864,710,11634,20230603,1,4577100,4577100,0,503481,5080581,3765400,Customer Changed Mind,Bank Transfer,Completed
169,RET000169,13709,36396,574,9418,20240519,2,2268300,4536600,0,499026,5035626,1899700,Customer Changed Mind,Cash,Completed
170,RET000170,6429,17128,324,5280,20230203,1,6800,6800,0,748,7548,5700,Late Delivery,Store Credit,Completed
171,RET000171,6429,17130,929,15223,20230203,2,782900,1565800,0,172238,1738038,581500,Quality Issue,Cash,Completed
172,RET000172,27620,73162,203,3338,20260622,1,531200,531200,0,58432,589632,387900,Wrong Item Sent,E-Wallet,Completed
173,RET000173,27620,73164,767,12602,20260622,1,312900,312900,0,34419,347319,234900,Customer Changed Mind,E-Wallet,Completed
174,RET000174,27620,73165,977,15989,20260622,2,2723800,5447600,0,599236,6046836,2014700,Damaged Product,Bank Transfer,Completed
175,RET000175,14789,39250,834,13679,20250625,1,99200,99200,0,0,99200,88000,Defective Product,E-Wallet,Completed
176,RET000176,22400,59395,472,7695,20220513,1,182600,182600,0,20086,202686,126400,Customer Changed Mind,Bank Transfer,Completed
177,RET000177,7433,19730,290,4719,20221108,1,7800,7800,0,0,7800,7100,Quality Issue,E-Wallet,Pending
178,RET000178,15124,40140,97,1590,20221018,1,12967800,12967800,0,1426458,14394258,10740800,Quality Issue,Bank Transfer,Completed
179,RET000179,25900,68686,99,1614,20260323,3,434500,1303500,0,143385,1446885,318500,Damaged Product,Bank Transfer,Completed
180,RET000180,7519,19942,218,3579,20240810,1,4564100,4564100,0,502051,5066151,3622000,Damaged Product,E-Wallet,Completed
181,RET000181,28450,75287,557,9138,20231011,1,6912900,6912900,0,760419,7673319,5717100,Expired Product,Cash,Completed
182,RET000182,23525,62402,763,12522,20221027,1,10523400,10523400,1578510,983937,9928827,9452100,Defective Product,E-Wallet,Completed
183,RET000183,12353,32746,742,12186,20250410,2,3445000,6890000,0,757900,7647900,2754800,Customer Changed Mind,E-Wallet,Completed
184,RET000184,12353,32747,270,4398,20250410,3,29100,87300,0,9603,96903,23500,Damaged Product,E-Wallet,Completed
185,RET000185,28875,76426,242,3947,20230720,3,61900,185700,0,0,185700,51700,Expired Product,E-Wallet,Completed
186,RET000186,26387,69916,212,3485,20240619,4,27700,110800,0,12188,122988,20800,Wrong Item Sent,E-Wallet,Pending
187,RET000187,22979,60900,745,12237,20230717,4,1414500,5658000,0,622380,6280380,927000,Damaged Product,Cash,Completed
188,RET000188,9325,24681,641,10512,20220513,1,293100,293100,0,32241,325341,224300,Wrong Item Sent,E-Wallet,Completed
189,RET000189,9325,24684,145,2395,20220513,1,441300,441300,0,48543,489843,331400,Quality Issue,E-Wallet,Completed
190,RET000190,12431,32967,490,7999,20220204,3,12600,37800,0,4158,41958,10000,Damaged Product,Bank Transfer,Completed
191,RET000191,24173,64176,537,8774,20241127,2,533000,1066000,0,117260,1183260,438600,Defective Product,Store Credit,Completed
192,RET000192,24173,64178,89,1441,20241127,1,468300,468300,0,51513,519813,318600,Customer Changed Mind,Bank Transfer,Completed
193,RET000193,2850,7591,589,9649,20250119,3,135500,406500,0,44715,451215,94100,Damaged Product,Voucher,Completed
194,RET000194,14039,37285,655,10732,20241007,1,10549200,10549200,0,1160412,11709612,9551400,Customer Changed Mind,E-Wallet,Completed
195,RET000195,14039,37286,579,9482,20241007,3,1242000,3726000,372600,368874,3722274,779300,Damaged Product,E-Wallet,Completed
196,RET000196,14039,37288,667,10931,20241007,1,4069500,4069500,0,447645,4517145,3353000,Defective Product,Cash,Completed
197,RET000197,10338,27404,371,6025,20250920,1,4257300,4257300,0,468303,4725603,3330900,Customer Changed Mind,Voucher,Pending
198,RET000198,10338,27405,496,8113,20250920,1,3600,3600,0,396,3996,3000,Wrong Item Sent,E-Wallet,Completed
199,RET000199,10338,27406,117,1908,20250920,1,6259900,6259900,0,688589,6948489,4894400,Wrong Item Sent,E-Wallet,Completed
200,RET000200,3870,10256,573,9394,20251005,2,371000,742000,0,81620,823620,281700,Late Delivery,Store Credit,Completed
201,RET000201,3870,10257,737,12095,20251005,3,171700,515100,0,56661,571761,142300,Damaged Product,Bank Transfer,Completed
202,RET000202,10111,26786,511,8359,20250617,1,208500,208500,0,22935,231435,158800,Defective Product,Bank Transfer,Completed
203,RET000203,4550,12069,516,8447,20221126,1,941800,941800,141270,88058,888588,746600,Customer Changed Mind,E-Wallet,Completed
204,RET000204,28317,74971,351,5705,20260629,5,447500,2237500,93750,235812,2379562,307400,Late Delivery,Store Credit,Completed
205,RET000205,28317,74972,120,1955,20260629,1,167700,167700,30000,15147,152847,137800,Damaged Product,E-Wallet,Completed
206,RET000206,28317,74973,354,5749,20260629,1,5689600,5689600,75000,617606,6232206,4889300,Quality Issue,E-Wallet,Completed
207,RET000207,21994,58311,63,1035,20251114,1,535800,535800,0,58938,594738,382800,Quality Issue,Bank Transfer,Completed
208,RET000208,21994,58312,537,8783,20251114,2,533000,1066000,0,117260,1183260,438600,Customer Changed Mind,Bank Transfer,Completed
209,RET000209,21994,58313,442,7193,20251114,1,20819600,20819600,0,2290156,23109756,17714200,Incorrect Size,Cash,Completed
210,RET000210,9507,25171,367,5963,20221218,3,2815500,8446500,0,929115,9375615,2135800,Defective Product,Bank Transfer,Pending
211,RET000211,16207,42939,166,2742,20230710,5,92100,460500,0,0,460500,80900,Defective Product,Bank Transfer,Completed
212,RET000212,16207,42941,396,6435,20230710,1,257700,257700,12885,26929,271744,186500,Defective Product,Bank Transfer,Completed
213,RET000213,7103,18844,741,12170,20241211,1,3910800,3910800,75000,421938,4257738,3095400,Customer Changed Mind,Bank Transfer,Completed
214,RET000214,7103,18845,111,1810,20241211,1,1663800,1663800,150000,166518,1680318,1041600,Late Delivery,E-Wallet,Completed
215,RET000215,17870,47363,240,3909,20221009,1,57600,57600,0,6336,63936,44800,Duplicate Order,Store Credit,Completed
216,RET000216,27114,71834,981,16051,20241011,1,84500,84500,0,9295,93795,60800,Defective Product,Bank Transfer,Completed
217,RET000217,8569,22689,284,4613,20250802,1,99400,99400,0,10934,110334,82600,Defective Product,Voucher,Completed
218,RET000218,5374,14386,352,5722,20231012,1,1923500,1923500,96175,201005,2028330,1659900,Damaged Product,E-Wallet,Completed
219,RET000219,13466,35740,3,39,20250619,3,485200,1455600,100000,149116,1504716,398600,Wrong Item Sent,Store Credit,Completed
220,RET000220,13466,35741,365,5925,20250619,2,3715400,7430800,100000,806388,8137188,3278200,Quality Issue,E-Wallet,Completed
221,RET000221,13466,35743,286,4644,20250619,1,467000,467000,33333,47703,481370,342100,Defective Product,Bank Transfer,Completed
222,RET000222,6972,18499,956,15641,20260615,1,2733600,2733600,0,300696,3034296,1848900,Damaged Product,E-Wallet,Completed
223,RET000223,2998,8006,616,10091,20220118,4,412100,1648400,0,181324,1829724,306500,Incorrect Size,E-Wallet,Completed
224,RET000224,4554,12076,914,14967,20260707,2,1787400,3574800,0,393228,3968028,1471800,Damaged Product,Voucher,Completed
225,RET000225,4554,12077,825,13536,20260707,2,3209800,6419600,0,706156,7125756,2774900,Damaged Product,Bank Transfer,Completed
