inventory_key,inventory_code,purchase_key,inventory_date_key,product_key,store_key,received_quantity,accepted_quantity,damaged_quantity,inventory_status,batch_number,warehouse_location,expiry_date
46,INV000046,51,20260815,99,4,296,296,0,Received,BAT00000046,E-15-04,
47,INV000047,52,20231220,36,9,150,150,0,Received,BAT00000047,D-01-02,2025-06-12
48,INV000048,53,20220719,647,3,55,55,0,Received,BAT00000048,A-03-02,
49,INV000049,54,20260725,167,7,352,320,32,Partial,BAT00000049,B-09-03,
50,INV000050,55,20250101,883,10,68,68,0,Received,BAT00000050,A-20-01,
51,INV000051,56,20240301,107,7,103,103,0,Received,BAT00000051,C-01-02,
52,INV000052,57,20240218,872,15,124,124,0,Received,BAT00000052,D-09-03,
53,INV000053,58,20240605,793,14,27,27,0,Received,BAT00000053,B-05-03,
54,INV000054,59,20230828,527,7,15,15,0,Received,BAT00000054,A-20-04,
55,INV000055,60,20240728,155,8,245,245,0,Received,BAT00000055,B-17-01,2026-07-28
56,INV000056,61,20250928,565,6,88,88,0,Received,BAT00000056,E-12-02,2027-03-22
57,INV000057,62,20220621,151,1,31,31,0,Received,BAT00000057,E-02-06,
58,INV000058,63,20231213,551,7,97,97,0,Received,BAT00000058,A-06-06,
59,INV000059,64,20241220,35,20,28,28,0,Received,BAT00000059,D-15-01,
60,INV000060,65,20250127,650,7,57,57,0,Received,BAT00000060,E-08-05,
61,INV000061,67,20231206,607,25,258,258,0,Received,BAT00000061,E-13-03,2024-12-05
62,INV000062,68,20260107,787,16,139,139,0,Received,BAT00000062,D-18-04,2028-01-07
63,INV000063,69,20220905,313,23,28,26,2,Partial,BAT00000063,B-20-02,2024-02-27
64,INV000064,70,20230802,638,20,427,427,0,Received,BAT00000064,A-03-05,2024-08-01
65,INV000065,71,20250614,7,10,150,150,0,Received,BAT00000065,E-18-05,2027-06-14
66,INV000066,72,20230804,203,21,371,371,0,Received,BAT00000066,A-12-06,
67,INV000067,73,20251023,896,24,48,48,0,Received,BAT00000067,C-02-03,
68,INV000068,74,20260411,884,10,18,18,0,Received,BAT00000068,D-01-02,
69,INV000069,75,20230617,800,13,5,5,0,Received,BAT00000069,C-09-05,
70,INV000070,76,20231115,458,3,444,444,0,Received,BAT00000070,A-07-06,2024-11-14
71,INV000071,77,20230527,104,20,401,401,0,Received,BAT00000071,A-16-01,2024-05-26
72,INV000072,78,20231001,754,18,8,8,0,Received,BAT00000072,A-18-04,
73,INV000073,79,20250314,372,8,22,22,0,Received,BAT00000073,C-05-05,
74,INV000074,80,20231212,697,9,5,5,0,Received,BAT00000074,E-16-03,
75,INV000075,81,20240918,85,1,44,44,0,Received,BAT00000075,E-04-04,
76,INV000076,82,20260721,803,24,67,67,0,Received,BAT00000076,D-09-02,
77,INV000077,83,20221115,100,3,116,116,0,Received,BAT00000077,B-14-04,
78,INV000078,84,20250529,799,18,41,41,0,Received,BAT00000078,B-10-06,
79,INV000079,86,20240930,114,15,39,39,0,Received,BAT00000079,B-01-01,
80,INV000080,87,20220524,553,9,10,10,0,Received,BAT00000080,C-14-01,
81,INV000081,88,20260825,279,15,68,68,0,Received,BAT00000081,C-04-05,
82,INV000082,89,20220615,184,16,7,7,0,Received,BAT00000082,C-08-05,
83,INV000083,90,20240328,857,2,452,452,0,Received,BAT00000083,D-16-03,2025-03-28
84,INV000084,91,20220118,779,20,220,220,0,Received,BAT00000084,A-20-04,
85,INV000085,92,20250520,238,17,134,134,0,Received,BAT00000085,A-06-06,
86,INV000086,93,20230429,514,7,118,118,0,Received,BAT00000086,C-09-02,
87,INV000087,94,20260213,50,3,138,138,0,Received,BAT00000087,C-14-05,
88,INV000088,95,20230113,907,1,8,8,0,Received,BAT00000088,A-04-05,
89,INV000089,96,20251126,684,1,18,18,0,Received,BAT00000089,A-12-05,
90,INV000090,97,20240130,800,16,27,27,0,Received,BAT00000090,B-04-02,
91,INV000091,98,20220330,555,25,16,16,0,Received,BAT00000091,B-19-02,
92,INV000092,99,20230730,468,10,34,34,0,Received,BAT00000092,A-08-02,
93,INV000093,101,20260119,14,12,180,180,0,Received,BAT00000093,A-07-05,
94,INV000094,102,20260511,246,24,336,336,0,Received,BAT00000094,E-15-02,2027-05-11
95,INV000095,103,20240923,934,25,23,22,1,Partial,BAT00000095,C-16-06,
96,INV000096,104,20260820,280,20,279,279,0,Received,BAT00000096,E-13-02,2027-08-20
97,INV000097,105,20241001,739,16,29,28,1,Partial,BAT00000097,B-16-01,
98,INV000098,106,20260308,870,1,266,266,0,Received,BAT00000098,E-12-06,
99,INV000099,107,20251030,705,16,29,28,1,Partial,BAT00000099,D-19-01,2027-04-23
100,INV000100,108,20241120,599,19,59,59,0,Received,BAT00000100,A-07-03,
101,INV000101,109,20241104,597,12,63,63,0,Received,BAT00000101,A-01-05,
102,INV000102,110,20240720,311,22,155,155,0,Received,BAT00000102,D-15-04,
103,INV000103,111,20250915,645,17,406,406,0,Received,BAT00000103,A-12-06,2026-09-15
104,INV000104,112,20240823,766,16,28,28,0,Received,BAT00000104,B-14-03,
105,INV000105,113,20261113,91,24,107,107,0,Received,BAT00000105,B-05-02,
106,INV000106,115,20220820,489,8,386,386,0,Received,BAT00000106,A-16-02,2023-08-20
107,INV000107,116,20231120,739,11,85,85,0,Received,BAT00000107,A-01-04,
108,INV000108,119,20261130,446,15,216,214,2,Partial,BAT00000108,E-05-01,2027-11-30
109,INV000109,120,20260811,574,8,35,35,0,Received,BAT00000109,B-03-06,
110,INV000110,121,20261001,652,14,117,117,0,Received,BAT00000110,C-03-03,
111,INV000111,122,20240729,73,23,28,28,0,Received,BAT00000111,A-20-04,
112,INV000112,123,20231113,254,6,92,92,0,Received,BAT00000112,E-10-01,
113,INV000113,125,20250104,700,13,252,252,0,Received,BAT00000113,C-07-06,2026-01-04
114,INV000114,126,20230227,757,14,49,49,0,Received,BAT00000114,C-02-06,
115,INV000115,127,20231210,150,6,379,379,0,Received,BAT00000115,D-01-06,
116,INV000116,128,20230521,225,6,27,27,0,Received,BAT00000116,B-12-01,
117,INV000117,129,20260325,530,17,460,460,0,Received,BAT00000117,B-16-01,
118,INV000118,130,20230304,605,4,95,95,0,Received,BAT00000118,C-08-03,
119,INV000119,131,20261228,527,9,16,16,0,Received,BAT00000119,A-13-02,
120,INV000120,132,20230616,95,16,149,149,0,Received,BAT00000120,E-09-06,2025-06-15
121,INV000121,133,20240813,317,23,59,59,0,Received,BAT00000121,D-06-03,
122,INV000122,134,20240128,239,8,134,134,0,Received,BAT00000122,D-08-04,
123,INV000123,135,20230421,729,5,35,35,0,Received,BAT00000123,B-14-05,
124,INV000124,136,20220311,317,17,95,95,0,Received,BAT00000124,A-06-06,
125,INV000125,138,20230218,44,10,116,116,0,Received,BAT00000125,A-13-03,
126,INV000126,139,20220604,871,1,179,179,0,Received,BAT00000126,B-15-05,2024-06-03
127,INV000127,140,20221112,47,14,337,337,0,Received,BAT00000127,A-10-01,2023-11-12
128,INV000128,141,20240528,41,13,133,133,0,Received,BAT00000128,B-20-04,
129,INV000129,142,20260317,971,21,233,233,0,Received,BAT00000129,B-17-03,2028-03-16
130,INV000130,143,20250715,872,9,66,66,0,Received,BAT00000130,E-18-01,
131,INV000131,146,20240622,581,3,92,92,0,Received,BAT00000131,E-10-03,
132,INV000132,147,20250330,934,5,22,22,0,Received,BAT00000132,A-08-05,
133,INV000133,148,20261228,970,11,127,127,0,Received,BAT00000133,B-06-05,2028-12-27
134,INV000134,149,20230222,437,8,242,242,0,Received,BAT00000134,E-14-01,2024-02-22
135,INV000135,150,20241118,406,8,227,227,0,Received,BAT00000135,D-06-05,2025-11-18
136,INV000136,151,20220207,982,3,25,25,0,Received,BAT00000136,D-04-06,
137,INV000137,152,20251107,698,16,47,47,0,Received,BAT00000137,B-09-01,
138,INV000138,153,20250911,445,24,438,438,0,Received,BAT00000138,D-06-06,2026-09-11
139,INV000139,154,20230630,422,4,108,108,0,Received,BAT00000139,A-06-06,
140,INV000140,155,20250817,485,3,81,81,0,Received,BAT00000140,E-02-05,
141,INV000141,156,20220518,352,9,12,12,0,Received,BAT00000141,D-20-04,
142,INV000142,157,20220527,237,6,9,9,0,Received,BAT00000142,A-06-06,
143,INV000143,158,20250221,165,18,79,79,0,Received,BAT00000143,B-01-03,
144,INV000144,159,20221122,728,17,6,6,0,Received,BAT00000144,B-20-02,
145,INV000145,160,20240123,631,8,61,61,0,Received,BAT00000145,B-04-04,
146,INV000146,161,20250323,878,4,45,45,0,Received,BAT00000146,E-11-03,
147,INV000147,162,20220817,338,24,118,118,0,Received,BAT00000147,E-16-04,
148,INV000148,163,20230702,258,5,10,10,0,Received,BAT00000148,C-13-01,
149,INV000149,164,20251116,2,8,18,18,0,Received,BAT00000149,B-07-01,
150,INV000150,165,20261017,614,3,66,65,1,Partial,BAT00000150,B-17-05,
151,INV000151,166,20250227,44,9,145,145,0,Received,BAT00000151,E-05-02,
152,INV000152,167,20240220,784,11,58,58,0,Received,BAT00000152,B-17-01,2025-08-13
153,INV000153,168,20250418,36,8,74,70,4,Partial,BAT00000153,C-07-02,2026-10-10
154,INV000154,169,20220603,626,17,13,13,0,Received,BAT00000154,A-08-02,
155,INV000155,170,20230217,389,16,183,183,0,Received,BAT00000155,D-01-05,
156,INV000156,171,20221013,953,20,145,145,0,Received,BAT00000156,E-19-03,
157,INV000157,172,20260524,256,2,6,6,0,Received,BAT00000157,E-20-04,
158,INV000158,174,20251006,339,3,16,16,0,Received,BAT00000158,E-19-03,
159,INV000159,175,20230527,302,3,9,9,0,Received,BAT00000159,A-03-03,
160,INV000160,176,20221209,854,16,28,28,0,Received,BAT00000160,C-06-03,
161,INV000161,177,20260927,226,6,2,2,0,Received,BAT00000161,B-04-06,
162,INV000162,178,20240916,274,10,22,22,0,Received,BAT00000162,D-05-06,
163,INV000163,179,20260511,378,6,10,10,0,Received,BAT00000163,A-15-06,
164,INV000164,180,20230502,948,1,26,26,0,Received,BAT00000164,C-14-04,
165,INV000165,181,20230210,791,22,101,101,0,Received,BAT00000165,D-19-03,
166,INV000166,182,20260606,114,25,36,36,0,Received,BAT00000166,E-15-02,
167,INV000167,183,20250909,463,16,24,24,0,Received,BAT00000167,C-18-06,
168,INV000168,185,20240212,429,19,27,27,0,Received,BAT00000168,C-05-03,
169,INV000169,186,20241111,379,25,240,221,19,Partial,BAT00000169,C-05-02,
170,INV000170,187,20220206,928,24,53,53,0,Received,BAT00000170,A-18-05,2023-07-31
171,INV000171,188,20250902,398,7,8,8,0,Received,BAT00000171,D-08-03,
172,INV000172,189,20220217,310,17,330,330,0,Received,BAT00000172,E-06-03,2023-02-17
173,INV000173,190,20261026,322,15,204,204,0,Received,BAT00000173,E-15-04,2028-10-25
174,INV000174,191,20260710,101,1,215,215,0,Received,BAT00000174,A-18-06,2028-07-09
175,INV000175,192,20260720,670,14,26,26,0,Received,BAT00000175,A-19-04,
176,INV000176,193,20240606,590,12,90,90,0,Received,BAT00000176,D-10-04,2025-11-28
177,INV000177,194,20241109,589,3,89,85,4,Partial,BAT00000177,D-17-04,
178,INV000178,195,20260309,791,17,122,122,0,Received,BAT00000178,A-15-05,
179,INV000179,196,20221110,88,17,52,52,0,Received,BAT00000179,A-14-05,
180,INV000180,197,20220704,123,12,134,134,0,Received,BAT00000180,B-16-03,
181,INV000181,198,20220321,337,6,10,10,0,Received,BAT00000181,B-13-03,
182,INV000182,200,20220924,589,14,125,125,0,Received,BAT00000182,A-01-01,
183,INV000183,202,20250214,936,9,16,16,0,Received,BAT00000183,C-03-06,
184,INV000184,203,20231102,286,14,75,75,0,Received,BAT00000184,C-05-06,
185,INV000185,204,20240226,926,23,30,30,0,Received,BAT00000185,D-10-01,
186,INV000186,205,20230320,821,5,127,127,0,Received,BAT00000186,E-03-06,
187,INV000187,206,20240412,425,3,17,17,0,Received,BAT00000187,A-16-05,
188,INV000188,207,20260412,912,10,30,30,0,Received,BAT00000188,E-05-02,
189,INV000189,208,20261028,514,13,119,119,0,Received,BAT00000189,C-04-04,
190,INV000190,209,20230220,723,8,70,70,0,Received,BAT00000190,A-05-03,
191,INV000191,210,20260311,353,2,11,11,0,Received,BAT00000191,D-01-05,
192,INV000192,211,20230322,855,18,166,166,0,Received,BAT00000192,A-06-05,2025-03-21
193,INV000193,212,20250912,831,12,34,34,0,Received,BAT00000193,A-06-04,
194,INV000194,213,20240124,542,9,205,205,0,Received,BAT00000194,C-14-04,
195,INV000195,216,20261127,958,13,169,169,0,Received,BAT00000195,B-04-06,2028-05-20
196,INV000196,217,20250518,487,17,19,19,0,Received,BAT00000196,E-17-02,
197,INV000197,219,20240908,349,13,188,188,0,Received,BAT00000197,C-17-06,
198,INV000198,221,20250107,906,17,142,142,0,Received,BAT00000198,E-19-05,2026-01-07
199,INV000199,222,20230308,627,2,334,334,0,Received,BAT00000199,D-14-04,2024-03-07
200,INV000200,223,20220731,288,14,247,247,0,Received,BAT00000200,D-02-01,
201,INV000201,224,20250614,76,15,62,62,0,Received,BAT00000201,A-07-02,2026-12-06
202,INV000202,225,20241208,739,23,62,62,0,Received,BAT00000202,A-18-04,
203,INV000203,226,20230329,321,9,10,10,0,Received,BAT00000203,B-09-04,
204,INV000204,227,20251022,494,19,58,58,0,Received,BAT00000204,C-14-01,
205,INV000205,228,20260615,552,15,15,15,0,Received,BAT00000205,E-02-06,
206,INV000206,229,20220918,323,14,30,30,0,Received,BAT00000206,A-14-02,
207,INV000207,230,20230411,80,13,89,89,0,Received,BAT00000207,C-10-03,
208,INV000208,231,20250829,838,25,104,104,0,Received,BAT00000208,D-20-03,
209,INV000209,232,20260503,955,21,69,69,0,Received,BAT00000209,D-15-05,2027-10-25
210,INV000210,233,20240326,278,9,38,38,0,Received,BAT00000210,D-03-01,
211,INV000211,234,20231011,737,2,122,122,0,Received,BAT00000211,B-11-06,2025-10-10
212,INV000212,235,20251119,66,2,7,7,0,Received,BAT00000212,E-11-02,
213,INV000213,236,20220118,488,6,143,143,0,Received,BAT00000213,C-03-05,
214,INV000214,237,20250723,774,12,280,280,0,Received,BAT00000214,E-19-03,
215,INV000215,238,20260417,190,9,44,44,0,Received,BAT00000215,A-17-05,
216,INV000216,239,20240721,216,20,14,14,0,Received,BAT00000216,B-12-02,
217,INV000217,242,20250724,765,24,32,32,0,Received,BAT00000217,B-20-04,
218,INV000218,243,20260122,844,17,417,417,0,Received,BAT00000218,D-18-01,
219,INV000219,244,20251103,961,3,11,11,0,Received,BAT00000219,C-10-02,
220,INV000220,245,20220309,457,6,326,326,0,Received,BAT00000220,E-16-05,2023-03-09
221,INV000221,246,20230401,588,5,27,27,0,Received,BAT00000221,A-04-01,
222,INV000222,247,20240128,79,23,19,19,0,Received,BAT00000222,E-02-04,
223,INV000223,248,20250203,353,3,30,30,0,Received,BAT00000223,D-15-01,
224,INV000224,249,20260913,244,20,45,45,0,Received,BAT00000224,B-18-01,
225,INV000225,250,20251117,615,17,39,37,2,Partial,BAT00000225,A-13-04,
226,INV000226,252,20231016,184,21,20,20,0,Received,BAT00000226,C-19-03,
227,INV000227,253,20261114,442,11,19,19,0,Received,BAT00000227,A-17-03,
228,INV000228,254,20251010,877,24,168,168,0,Received,BAT00000228,D-19-01,2026-10-10
229,INV000229,255,20230821,481,15,23,23,0,Received,BAT00000229,C-04-06,
230,INV000230,256,20221003,849,8,17,17,0,Received,BAT00000230,C-03-04,
231,INV000231,257,20221226,355,17,18,18,0,Received,BAT00000231,C-05-03,
232,INV000232,258,20220321,882,20,56,56,0,Received,BAT00000232,E-01-05,
233,INV000233,260,20241113,372,6,69,69,0,Received,BAT00000233,A-18-05,
234,INV000234,261,20260919,500,7,44,44,0,Received,BAT00000234,D-07-02,2028-03-12
235,INV000235,262,20230722,186,21,10,10,0,Received,BAT00000235,D-14-02,
236,INV000236,263,20241030,624,20,67,67,0,Received,BAT00000236,C-08-05,
237,INV000237,264,20240622,147,10,6,6,0,Received,BAT00000237,C-05-03,
238,INV000238,265,20220113,609,4,471,471,0,Received,BAT00000238,A-19-01,
239,INV000239,266,20260319,233,11,75,75,0,Received,BAT00000239,E-13-02,2027-09-10
240,INV000240,267,20250812,397,24,20,20,0,Received,BAT00000240,E-19-04,
241,INV000241,268,20251129,55,19,148,148,0,Received,BAT00000241,B-16-06,
242,INV000242,269,20251101,428,23,136,136,0,Received,BAT00000242,C-08-01,
243,INV000243,270,20250514,315,7,36,34,2,Partial,BAT00000243,D-20-01,
244,INV000244,271,20230221,969,22,102,102,0,Received,BAT00000244,A-19-04,
245,INV000245,272,20230124,602,5,113,113,0,Received,BAT00000245,D-17-05,
246,INV000246,273,20250321,774,16,61,61,0,Received,BAT00000246,C-10-03,
247,INV000247,274,20241022,258,18,6,6,0,Received,BAT00000247,A-20-02,
248,INV000248,275,20240922,204,19,101,101,0,Received,BAT00000248,D-10-06,
249,INV000249,277,20230530,905,9,170,170,0,Received,BAT00000249,A-05-05,2024-05-29
250,INV000250,278,20220213,792,10,23,23,0,Received,BAT00000250,E-14-01,2023-08-07
251,INV000251,280,20250102,653,22,417,417,0,Received,BAT00000251,B-15-05,2026-01-02
252,INV000252,281,20251230,902,17,151,151,0,Received,BAT00000252,B-09-03,
253,INV000253,283,20251014,759,13,145,145,0,Received,BAT00000253,A-08-05,2027-04-07
254,INV000254,284,20221126,825,6,25,25,0,Received,BAT00000254,A-17-05,
255,INV000255,286,20240507,557,8,29,29,0,Received,BAT00000255,D-19-06,
256,INV000256,287,20260922,881,22,281,281,0,Received,BAT00000256,B-13-06,
257,INV000257,288,20250729,46,15,127,127,0,Received,BAT00000257,A-01-04,2027-01-20
258,INV000258,289,20220219,533,10,28,28,0,Received,BAT00000258,D-18-06,
259,INV000259,290,20230514,808,11,211,211,0,Received,BAT00000259,A-06-04,2025-05-13
260,INV000260,291,20241221,466,1,79,78,1,Partial,BAT00000260,E-13-04,
261,INV000261,295,20250328,227,12,238,238,0,Received,BAT00000261,C-02-04,2026-03-28
262,INV000262,296,20250713,900,2,123,123,0,Received,BAT00000262,A-04-03,
263,INV000263,297,20250321,892,8,148,148,0,Received,BAT00000263,A-04-01,2026-09-12
264,INV000264,298,20261102,926,21,17,17,0,Received,BAT00000264,D-11-02,
265,INV000265,299,20220929,451,9,48,48,0,Received,BAT00000265,E-10-02,
266,INV000266,300,20230423,829,7,129,129,0,Received,BAT00000266,D-09-06,
267,INV000267,301,20240421,620,16,75,75,0,Received,BAT00000267,D-03-04,
268,INV000268,302,20240310,115,11,192,192,0,Received,BAT00000268,A-18-02,2026-03-10
269,INV000269,303,20220107,805,7,125,118,7,Partial,BAT00000269,B-05-04,2023-07-01
270,INV000270,305,20260917,794,14,36,36,0,Received,BAT00000270,B-19-02,2028-03-10
271,INV000271,306,20230215,415,4,42,42,0,Received,BAT00000271,A-12-04,
272,INV000272,307,20241223,419,13,18,18,0,Received,BAT00000272,B-05-01,
273,INV000273,308,20250618,536,14,17,17,0,Received,BAT00000273,D-17-06,
274,INV000274,309,20261112,756,22,436,436,0,Received,BAT00000274,A-06-05,2027-11-12
275,INV000275,310,20250421,943,13,19,19,0,Received,BAT00000275,E-20-02,
276,INV000276,311,20240310,351,2,55,55,0,Received,BAT00000276,E-04-04,
277,INV000277,312,20261030,391,12,225,225,0,Received,BAT00000277,E-05-06,2028-10-29
278,INV000278,313,20251017,947,4,5,5,0,Received,BAT00000278,D-09-03,
279,INV000279,314,20250711,736,24,70,70,0,Received,BAT00000279,B-06-05,
280,INV000280,315,20260328,271,17,35,35,0,Received,BAT00000280,A-04-03,
281,INV000281,316,20260826,875,20,27,27,0,Received,BAT00000281,B-12-06,
282,INV000282,317,20230224,301,11,243,243,0,Received,BAT00000282,C-16-05,2025-02-23
283,INV000283,318,20260118,257,6,5,5,0,Received,BAT00000283,C-13-02,
284,INV000284,319,20231023,741,6,11,11,0,Received,BAT00000284,D-13-01,
285,INV000285,320,20230412,900,2,145,145,0,Received,BAT00000285,E-10-02,
286,INV000286,321,20220412,275,24,58,58,0,Received,BAT00000286,D-09-03,
287,INV000287,322,20230330,928,21,181,181,0,Received,BAT00000287,E-04-04,2024-09-20
288,INV000288,323,20261011,162,7,38,38,0,Received,BAT00000288,D-10-06,
289,INV000289,326,20260616,101,1,254,254,0,Received,BAT00000289,D-19-03,2028-06-15
290,INV000290,327,20240302,714,18,26,26,0,Received,BAT00000290,B-20-03,
291,INV000291,328,20260927,248,15,25,25,0,Received,BAT00000291,B-02-04,
292,INV000292,329,20260712,470,22,70,70,0,Received,BAT00000292,D-16-03,
293,INV000293,330,20260713,573,16,186,186,0,Received,BAT00000293,C-20-06,2028-07-12
294,INV000294,331,20260628,284,12,169,169,0,Received,BAT00000294,E-06-06,2027-12-20
295,INV000295,332,20260103,742,2,78,78,0,Received,BAT00000295,B-06-03,
296,INV000296,334,20230207,75,7,146,146,0,Received,BAT00000296,D-04-02,
297,INV000297,335,20260322,243,25,42,42,0,Received,BAT00000297,B-11-05,
298,INV000298,336,20260618,992,18,139,139,0,Received,BAT00000298,B-06-01,
299,INV000299,337,20220716,875,16,67,67,0,Received,BAT00000299,B-03-06,
300,INV000300,338,20240929,957,7,74,74,0,Received,BAT00000300,B-20-02,
301,INV000301,339,20260910,767,11,148,148,0,Received,BAT00000301,B-12-06,2028-03-03
302,INV000302,340,20260213,940,10,190,190,0,Received,BAT00000302,D-04-03,
303,INV000303,341,20240108,737,10,237,237,0,Received,BAT00000303,B-10-04,2026-01-07
304,INV000304,342,20231106,946,9,490,490,0,Received,BAT00000304,D-17-03,2024-11-05
305,INV000305,343,20260919,666,22,26,26,0,Received,BAT00000305,E-10-04,
306,INV000306,344,20220730,790,14,459,459,0,Received,BAT00000306,A-07-01,
307,INV000307,345,20230216,61,6,77,77,0,Received,BAT00000307,D-02-06,2024-08-09
308,INV000308,346,20261018,234,15,12,12,0,Received,BAT00000308,A-12-03,
309,INV000309,347,20230223,699,22,266,266,0,Received,BAT00000309,A-15-02,
310,INV000310,348,20230601,468,4,70,70,0,Received,BAT00000310,A-04-04,
311,INV000311,349,20260101,46,17,197,197,0,Received,BAT00000311,D-11-04,2027-06-25
312,INV000312,351,20241118,608,20,61,61,0,Received,BAT00000312,D-05-03,
313,INV000313,352,20251204,869,8,142,142,0,Received,BAT00000313,A-03-03,
314,INV000314,353,20240317,525,14,246,246,0,Received,BAT00000314,D-11-05,2025-03-17
315,INV000315,355,20220611,267,21,55,55,0,Received,BAT00000315,E-13-05,
316,INV000316,358,20220806,928,3,153,153,0,Received,BAT00000316,D-09-02,2024-01-28
317,INV000317,359,20230402,883,2,14,14,0,Received,BAT00000317,E-13-05,
318,INV000318,360,20221028,960,10,317,317,0,Received,BAT00000318,D-09-03,
319,INV000319,361,20221022,571,10,56,56,0,Received,BAT00000319,E-08-03,
320,INV000320,362,20251130,237,11,20,20,0,Received,BAT00000320,E-03-04,
321,INV000321,363,20240113,609,15,157,157,0,Received,BAT00000321,D-05-02,
322,INV000322,364,20240606,967,6,129,129,0,Received,BAT00000322,C-18-05,2026-06-06
323,INV000323,365,20230618,700,13,431,431,0,Received,BAT00000323,C-12-05,2024-06-17
324,INV000324,366,20240420,421,10,214,214,0,Received,BAT00000324,A-05-01,2026-04-20
325,INV000325,367,20231109,957,20,62,62,0,Received,BAT00000325,B-19-05,
326,INV000326,368,20250110,89,10,178,178,0,Received,BAT00000326,A-04-06,2027-01-10
327,INV000327,369,20220627,987,5,223,223,0,Received,BAT00000327,E-15-05,2024-06-26
328,INV000328,370,20220811,623,13,54,54,0,Received,BAT00000328,E-06-03,2024-02-02
329,INV000329,371,20260503,612,22,289,289,0,Received,BAT00000329,B-11-04,
330,INV000330,372,20260823,926,25,30,30,0,Received,BAT00000330,D-07-04,
331,INV000331,373,20220509,775,4,24,22,2,Partial,BAT00000331,B-03-02,
332,INV000332,374,20260305,538,23,15,15,0,Received,BAT00000332,D-10-03,
333,INV000333,376,20241011,620,6,111,111,0,Received,BAT00000333,C-07-06,
